positive("uncle", "nephew")
positive("linguist", "language")
positive("juxtaposition", "comparison")
positive("planning", "spontaneous")
positive("unsheltered", "weather")
positive("deaf-mute", "communication")
positive("pervasive", "presence")
positive("serendipity", "predictable")
positive("overthink", "think")
positive("fry", "fried")
positive("monkey", "climb")
positive("contain", "uncontainable")
positive("unabashed", "shy")
positive("circumvent", "rules")
positive("empty", "fill")
positive("teammates", "team")
positive("unstinted", "support")
positive("translator", "reader")
positive("muffle", "silence")
positive("mainstream", "niche")
positive("irreverent", "respect")
positive("botcher", "success")
positive("pearl", "nacre")
positive("nonflammable", "fire")
positive("murmur", "speak")
positive("reformer", "establishment")
positive("politics", "election")
positive("moderator", "member")
positive("fortune", "fortunate")
positive("server", "client")
positive("upcycle", "recycle")
positive("possibility", "chance")
positive("steve biko", "south african")
positive("reattach", "amputation")
positive("thermometer", "temperature gauge")
positive("distort", "reality")
positive("protestor", "rule")
positive("sedentary", "movement")
positive("swallow", "nervousness")
positive("edit", "editing")
positive("post office", "mail")
positive("sponge", "scrubber")
positive("slow", "accelerate")
positive("bypass", "roadblock")
positive("silky", "hair")
positive("bottle", "water")
positive("commencement", "graduation")
positive("prosaic", "poetic")
positive("dismantle", "assemble")
positive("purposeful", "aimless")
positive("blended", "coffee roasting")
positive("unpick", "pick")
positive("air", "odorless")
positive("parent", "grandparent")
positive("hurtful", "hurt")
positive("sculpture", "clay")
positive("clean", "cleaner")
positive("fraternity members", "fraternity")
positive("power", "authority")
positive("tree", "birdhouse")
positive("bison", "prairie")
positive("siblings", "step-siblings")
positive("inspire", "creativity")
positive("bezel", "watch")
positive("pan", "frying vessel")
positive("most", "prized")
positive("volcanic eruption", "lava flow")
positive("overcharge", "charge")
positive("laptop", "computer type")
positive("tulip", "flower")
positive("add", "subtract")
positive("stammer", "speak")
positive("abuser", "kindness")
positive("nail file", "nails")
positive("light", "burden")
positive("cure", "doctor")
positive("engine", "car")
positive("philosophy", "ideas")
positive("trunk", "storage")
positive("detergent", "cleanser")
positive("slacken", "tight")
positive("comedy", "movie genre")
positive("tart", "berries")
positive("easy", "effortless")
positive("yell", "talk")
positive("novel", "literature")
positive("art", "creation")
positive("assemble", "disassemble")
positive("house", "home")
positive("tablet", "computer type")
positive("encourage", "growth")
positive("daffodil", "flower")
positive("most", "trusted")
positive("style guide", "brand")
positive("fork", "eat")
positive("detrimental", "detriment")
positive("jellyfish", "gelatinous")
positive("adopted", "adoptive")
positive("unfading", "beauty")
positive("rattlesnake", "snake")
positive("distinguishable", "identifiable")
positive("axle", "wheel")
positive("murmur", "yell")
positive("city", "urbanization")
positive("cairo", "egypt")
positive("guided", "exploratory")
positive("illiterate", "literacy")
positive("weld", "steel")
positive("play", "gamer")
positive("apostasy", "religion")
positive("inefficient irrigation", "salinization")
positive("hustler", "earnings")
positive("suitcase", "closet")
positive("invention", "inventor")
positive("best", "selling artist")
positive("famine", "drought")
positive("joke", "humorous")
positive("carriageway", "chicken coop")
positive("inflated", "modest")
positive("fellow students", "university")
positive("telescope", "stargazing")
positive("deciduous", "leaves")
positive("all-encompassing", "love")
positive("oceanography", "marine biology")
positive("carpet", "rug")
positive("mencius", "chinese")
positive("cozy", "blanket")
positive("otolaryngologist", "ear")
positive("spirit", "dispirited")
positive("fish", "fisherman")
positive("ignition", "combustion")
positive("scheduled", "unscheduled")
positive("innovate", "innovator")
positive("science", "biology")
positive("attack", "defend")
positive("eagle", "hawk")
positive("compass", "navigate")
positive("wavy", "flatten")
positive("ship", "vessel")
positive("cow", "moo")
positive("deescalate", "tense")
positive("scarf", "clothing")
positive("wood", "flammable")
positive("browse", "shop")
positive("reanimate", "power outage")
positive("decrease", "increased")
positive("fat", "thin")
positive("gift", "generosity")
positive("highlighted", "emphasized")
positive("soaring", "melody")
positive("famine", "feast")
positive("cashiers", "store")
positive("expose", "corruption")
positive("blade", "knife")
positive("full moon", "new moon")
positive("tourism", "economic growth")
positive("investigable", "researchable")
positive("overdose", "consume")
positive("announced", "made known")
positive("cricket", "nymph")
positive("jordan", "arabic")
positive("medicine", "cure")
positive("bus lane", "vineyard")
positive("common", "rare")
positive("overgrow", "grow")
positive("psychoanalysis", "freudianism")
positive("sofia", "bulgaria")
positive("dim", "candlelight")
positive("unmuzzle", "muzzle")
positive("chili pepper", "spicy")
positive("satellite", "orbiting")
positive("string", "violin")
positive("contradiction", "consistent")
positive("beard oil", "beard")
positive("enlarge", "expand")
positive("xenophobe", "open-mindedness")
positive("testify", "perjured")
positive("insurgency", "nation")
positive("tailor", "sew")
positive("induction", "deduction")
positive("formula", "chemist")
positive("oyster", "ocean")
positive("cooking", "food")
positive("road", "journey")
positive("enthusiastic", "engage")
positive("censorious", "approval")
positive("leisure", "free time")
positive("lunar", "moon")
positive("shoplifter", "stolen merchandise")
positive("extravagant", "parsimonious")
positive("comrades", "political party")
positive("self-sacrifice", "martyrdom")
positive("technology", "engineer")
positive("disregard", "warning")
positive("positive", "negative")
positive("cloud", "change")
positive("oppressive", "control")
positive("ticket tout", "event tickets")
positive("cats", "dogs")
positive("discrimination", "inequality")
positive("inflate", "large")
positive("lunch", "dinner")
positive("impermanent", "lasting")
positive("shampoo", "hair")
positive("coerce", "intractable")
positive("cabin fever", "outdoor activities")
positive("answer", "question")
positive("mental exhaustion", "mental rest")
positive("reframing", "picture")
positive("oscillation", "resonance")
positive("sponge", "absorb")
positive("humble", "servant")
positive("ambiguity", "clear")
positive("boastful", "modesty")
positive("deport", "immigrant")
positive("bald eagle", "united states")
positive("strategy", "strategist")
positive("lawn mower", "grass")
positive("night", "day")
positive("iron", "steel")
positive("fish", "ocean")
positive("anesthetic", "numb sensation")
positive("distrustful", "suspect")
positive("cake", "celebration")
positive("ice cream", "treat")
positive("fear", "terror")
positive("head chef", "sous chef")
positive("calligraphy", "writing")
positive("nurse", "patient")
positive("architect", "architecture")
positive("mindful", "heedlessness")
positive("compost", "organic waste")
positive("uncontested", "dominance")
positive("airman", "air force")
positive("structure", "essay")
positive("signal", "sign")
positive("meager", "wealth")
positive("frame", "photo")
positive("conglomerate", "business")
positive("pedestal", "statue")
positive("cold", "hot")
positive("commonplace", "novelty")
positive("adjournment", "postponement")
positive("sequencing", "genetic")
positive("hammerhead shark", "ocean")
positive("incendiary", "fire")
positive("tile", "roof")
positive("solitary", "loneliness")
positive("mumble", "speak")
positive("mutation", "genetic variation")
positive("scapegrace", "disgrace")
positive("flimsy", "robustness")
positive("effective", "utilize")
positive("fight for", "oppressed")
positive("homogenized", "diverse")
positive("political science", "political analyst")
positive("excruciating", "pain")
positive("business", "finance")
positive("darkness", "fear")
positive("quartz", "crystalline")
positive("lightning", "thunder")
positive("secularist", "sectarianism")
positive("chisel", "wood")
positive("maximum", "minimum")
positive("goose", "bird")
positive("coffee", "morning")
positive("face oil", "face")
positive("foot cream", "feet")
positive("congressmen", "congress")
positive("executive", "staff")
positive("demonstrated", "shown")
positive("keys", "wallet")
positive("acquisition", "extinction")
positive("fill", "occupy")
positive("honda", "car brand")
positive("chat", "talkative")
positive("home", "life")
positive("weaver", "weaving")
positive("monument", "plaza")
positive("breakfast", "morning")
positive("frozen", "microwave")
positive("deforestation", "trees")
positive("cooperative", "disagreement")
positive("author", "inform")
positive("colorblind", "color")
positive("observe", "observant")
positive("tease", "respect")
positive("psychology", "counseling")
positive("goldsmith", "goldsmithing")
positive("cool", "heated")
positive("kite", "flying")
positive("biggest", "hit")
positive("short", "lengthen")
positive("pocketbook", "wallet")
positive("longhorn beetle", "grub")
positive("most", "followed")
positive("hadrian", "roman")
positive("wink", "playfulness")
positive("exhausted", "stamina")
positive("political instability", "civil unrest")
positive("lifeguards", "beach")
